,ABC News,CBS News,NBC News,NPR,Rush Limbaugh Show (radio),Sean Hannity Show (radio),Washington Post,The New York Times,HuffPost,Breitbart,BBC,Time,Univision,Vice,Daily Caller,Fox News,MSNBC,CNN,PBS,The Wall Street Journal,USA Today,Politico,BuzzFeed,Newsweek,Business Insider,Vox,The Hill,Washington Examiner,New York Post,The Guardian,Opinion of Trump,Party,Social Media Usage,Weights,Age/Sex Category
94,2,1,1,2,2,2,1,1,1,2,2,2,0,0,0,2,1,1,2,2,1,2,2,2,2,0,2,2,2,2,-1.0,Democrat,Never,65.0,6.0
95,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,0,2,0,0,2,2,2,0,1.0,Republican,Never,192.0,7.0
96,2,2,1,1,2,2,2,1,1,2,2,2,0,0,0,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1.0,Democrat,Often,104.0,8.0
97,2,2,2,0,1,1,2,2,2,0,0,0,0,0,0,1,2,2,2,0,2,2,2,0,0,0,0,0,2,0,1.0,Republican,Often,255.0,8.0
98,2,2,2,0,1,1,0,2,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,2,0,1.0,Republican,Never,225.0,7.0
99,2,2,2,0,2,1,2,2,2,0,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,Republican,Sometimes,266.0,6.0
100,2,0,0,2,2,2,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,-0.96,Independent,Sometimes,180.0,6.0
101,2,1,2,2,2,2,2,2,1,0,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0,0,2,2,0.1,Independent,Sometimes,66.0,6.0
102,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1.0,Republican,Never,504.0,8.0
103,1,1,1,2,2,2,1,1,1,2,1,2,2,0,0,2,1,2,2,2,2,1,2,2,2,2,2,0,2,2,-1.0,Independent,Often,71.0,5.0
104,2,1,1,2,1,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0.9,Republican,Never,79.0,6.0
105,1,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,1,1,2,2,2,2,2,2,2,0,0,2,2,0,-1.0,Democrat,Hardly Ever,276.0,6.0
106,1,1,1,1,2,0,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,-1.0,Independent,Often,310.0,3.0
107,2,2,2,1,2,2,1,1,2,2,2,2,2,2,0,2,1,1,1,2,2,2,2,2,0,2,2,0,2,2,-1.0,Democrat,Hardly Ever,63.0,8.0
108,2,2,2,2,2,0,2,2,2,0,2,2,0,0,0,1,2,2,2,2,2,0,2,2,0,0,0,0,0,2,0.0,Republican,Hardly Ever,173.0,6.0
109,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,2,1,2,2,2,2,1,2,2,2,0,0,2,2,0,-0.98,Democrat,Hardly Ever,456.0,6.0
110,2,2,1,0,2,0,1,2,2,0,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,2,0,0,2,2,-1.0,Independent,Hardly Ever,101.0,6.0
111,1,1,1,2,0,0,2,2,0,0,1,2,0,0,0,1,1,2,2,2,2,2,2,1,0,0,0,2,2,0,1.0,Independent,Never,60.0,6.0
112,2,2,2,0,2,1,2,2,0,0,2,0,0,0,0,1,2,2,2,0,2,0,0,2,0,0,0,0,0,0,1.0,Republican,Never,635.0,8.0
113,1,1,1,2,0,2,1,1,1,2,0,2,0,0,0,2,1,2,0,2,2,1,1,2,0,0,0,0,2,2,-1.0,Democrat,Often,67.0,8.0
114,2,2,2,1,2,2,2,1,2,2,2,2,0,2,0,2,1,1,1,2,2,2,2,2,0,2,2,0,0,2,-1.0,Democrat,Sometimes,179.0,8.0
115,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,2,1,1,1,2,2,2,2,2,0,2,0,0,2,2,-1.0,Democrat,Never,139.0,8.0
116,1,1,2,1,2,2,1,1,1,2,1,2,0,0,2,1,1,1,1,1,2,1,2,2,0,0,0,2,2,0,-1.0,Democrat,Hardly Ever,162.0,6.0
117,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,2,2,2,2,1,2,2,2,2,0,2,0,0,2,0,0.5,Republican,Sometimes,79.0,6.0
118,2,2,1,0,0,0,0,2,0,0,0,2,0,0,0,1,2,1,2,2,2,0,0,2,0,0,0,0,0,0,1.0,Republican,Hardly Ever,1359.0,1.0
119,2,2,2,0,2,1,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0.6,Independent,Sometimes,239.0,8.0
120,2,1,1,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,-1.0,Democrat,Hardly Ever,117.0,8.0
121,2,1,1,1,2,2,1,1,2,2,2,2,0,0,2,2,2,1,2,2,1,2,2,2,2,0,2,0,2,2,-1.0,Independent,Sometimes,107.0,5.0
122,2,2,2,0,2,0,2,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0.2,Republican,Sometimes,133.0,4.0
123,2,2,2,2,2,2,1,1,2,1,2,2,0,2,1,1,2,2,1,1,2,1,2,2,0,0,1,1,1,1,0.7,Republican,Never,369.0,8.0
124,2,2,2,1,2,0,2,1,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,-1.0,Democrat,Hardly Ever,44.0,6.0
125,1,1,1,1,2,2,1,2,1,2,1,2,0,0,0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,-1.0,Democrat,Never,84.0,8.0
126,2,2,2,2,1,1,2,2,2,2,2,0,2,0,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1.0,Republican,Hardly Ever,75.0,8.0
127,1,1,1,1,2,2,1,1,2,2,2,2,0,0,2,2,1,1,1,2,2,2,2,2,0,2,2,0,2,2,-0.98,Democrat,Often,62.0,6.0
128,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,Independent,999,2491.0,8.0
129,2,2,2,2,1,1,2,2,0,2,2,2,2,0,2,1,2,2,2,2,2,2,1,2,0,0,2,2,2,2,-0.84,Republican,Hardly Ever,457.0,8.0
130,1,2,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,0,2,2,0,2,0,2,2,0.4,Independent,Never,73.0,7.0
131,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,2,2,2,1,2,2,2,2,2,0,0,0,0,0,2,-1.0,Independent,Hardly Ever,69.0,5.0
132,1,2,2,1,2,2,1,1,2,2,0,2,0,0,0,2,2,1,1,2,2,0,2,2,2,0,0,0,2,2,-1.0,Democrat,Hardly Ever,75.0,8.0
133,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,-1.0,Democrat,Hardly Ever,186.0,4.0
134,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,0,1.0,Republican,Never,193.0,7.0
135,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9,Republican,Never,73.0,7.0
136,2,2,1,1,2,2,1,1,1,2,1,2,2,0,2,2,1,1,2,2,1,1,1,2,0,0,2,2,2,2,-1.0,Democrat,Often,43.0,7.0
137,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,-1.0,Democrat,Never,73.0,7.0
138,2,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,-1.0,Democrat,Never,284.0,8.0
139,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,2,0,-0.5,Independent,Sometimes,117.0,5.0
140,1,1,1,0,2,0,2,2,0,2,2,2,0,0,0,1,2,2,2,2,2,0,0,2,0,0,0,0,2,2,0.8,Republican,Hardly Ever,296.0,8.0
141,2,1,1,0,0,0,2,2,0,0,0,2,0,0,0,1,2,2,2,2,2,0,0,2,2,0,0,0,0,0,1.0,Independent,Often,215.0,6.0
142,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,-1.0,Democrat,Never,80.0,7.0
143,2,2,2,1,2,2,2,1,2,2,1,2,2,0,0,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,-1.0,Independent,Never,169.0,7.0
144,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,2,1,1,2,2,1,2,2,2,0,0,2,0,2,2,-1.0,Democrat,Often,119.0,7.0
145,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,0.28,Independent,Often,144.0,7.0
146,2,2,1,2,2,2,2,2,2,2,2,2,0,0,2,2,1,2,2,2,2,2,2,2,0,0,2,2,2,2,-1.0,Republican,Sometimes,149.0,6.0
147,2,2,1,1,2,2,1,1,1,2,1,1,0,2,0,1,1,1,1,1,2,1,2,2,0,2,2,0,2,2,-0.8,Independent,Never,163.0,8.0
148,2,1,1,1,0,0,2,2,2,2,2,2,2,0,0,2,1,1,1,2,2,2,2,2,0,2,2,0,2,2,0.0,Independent,Sometimes,220.0,8.0
149,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1.0,Independent,Never,429.0,8.0
